iter	Passed	Remaining
0	1828	1827027
1	3621	1806970
2	5233	1739372
3	7117	1772217
4	9418	1874257
5	10988	1820350
6	12480	1770431
7	14366	1781495
8	16277	1792363
9	17857	1767888
10	19577	1760197
11	21327	1755965
12	23057	1750591
13	24639	1735327
14	26357	1730800
15	28041	1724562
16	29658	1714941
17	31547	1721114
18	33071	1707520
19	34655	1698106
20	36373	1695683
21	37940	1686611
22	39430	1674955
23	40858	1661595
24	42603	1661534
25	44056	1650432
26	45706	1647140
27	47296	1641857
28	48971	1639692
29	50147	1621425
30	51416	1607175
31	52838	1598376
32	54538	1598131
33	56141	1595066
34	57692	1590654
35	59293	1587746
36	60982	1587184
37	62727	1588004
38	64156	1580892
39	65792	1579013
40	67284	1573809
41	68776	1568754
42	69943	1556653
43	71318	1549566
44	72769	1544322
45	74483	1544722
46	75883	1538658
47	77448	1536057
48	78949	1532263
49	80420	1527985
50	82101	1527740
51	83512	1522503
52	85176	1521924
53	86687	1518631
54	88184	1515170
55	89710	1512269
56	91568	1514897
57	93057	1511389
58	94559	1508140
59	96021	1504343
60	97799	1505472
61	99478	1505016
62	100960	1501590
63	102459	1498474
64	103895	1494492
65	105405	1491652
66	107335	1494689
67	109056	1494717
68	110903	1496397
69	112593	1495889
70	114349	1496201
71	116250	1498342
72	118065	1499273
73	119830	1499500
74	121604	1499784
75	123595	1502664
76	125174	1500467
77	126644	1497004
78	128052	1492864
79	129923	1494121
80	131559	1492629
81	133258	1491843
82	134784	1489129
83	136307	1486395
84	137641	1481669
85	139150	1478875
86	140600	1475497
87	142036	1472016
88	143594	1469831
89	145048	1466596
90	146669	1465080
91	148441	1465056
92	149905	1461985
93	151376	1459012
94	152951	1457062
95	154397	1453913
96	155969	1451961
97	157610	1450661
98	159132	1448265
99	160711	1446406
100	162273	1444393
101	164100	1444727
102	165447	1440839
103	166700	1436190
104	168448	1435821
105	170154	1435080
106	171657	1432614
107	173143	1430038
108	174705	1428099
109	176246	1425995
110	177762	1423703
111	179100	1420011
112	180765	1418927
113	182153	1415684
114	183542	1412481
115	184711	1407629
116	186462	1407232
117	187882	1404339
118	189216	1400840
119	190633	1397979
120	192415	1397792
121	194189	1397527
122	195879	1396635
123	197480	1395101
124	199438	1396069
125	200848	1393186
126	202665	1393128
127	204385	1392378
128	206336	1393174
129	208107	1392717
130	209750	1391401
131	211278	1389319
132	212922	1387999
133	214525	1386411
134	216138	1384888
